date,trade_count,wins,losses,tp_count,sl_count,daily_pnl_usdt,daily_fees_usdt,last_capital_usdt
2025-07-07,5,2,3,2,3,103.538833,20.472609,5436.501193
2025-07-08,4,3,1,2,2,173.544935,16.712603,5610.046127
2025-07-09,5,2,3,2,3,90.164491,21.561675,5700.210618
2025-07-10,5,3,2,2,3,143.589392,21.775917,5843.80001
2025-07-11,5,2,3,2,3,95.75952,22.31454,5939.559528
2025-07-12,5,2,3,2,3,95.46042,22.828128,6035.019949
2025-07-13,3,3,0,3,0,247.467332,14.024688,6282.487281
2025-07-14,4,3,1,3,1,234.010609,19.398047,6516.497889
2025-07-15,4,3,1,3,1,242.727055,20.120586,6759.224944
2025-07-16,5,2,3,1,4,63.864498,25.876613,6823.089442
2025-07-17,4,3,1,3,1,254.147003,21.06723,7077.236444
2025-07-18,5,1,4,1,4,-5.644776,26.80314,7071.591669
2025-07-19,4,3,1,3,1,263.403235,21.927659,7334.994903
2025-07-20,5,2,3,2,3,117.887815,28.096024,7452.882718
2025-07-21,4,3,1,3,1,277.605596,22.914947,7730.488313
2025-07-22,5,3,2,2,3,174.345135,29.854023,7904.833448
2025-07-23,5,2,3,1,4,97.100693,30.349635,8001.934141
2025-07-24,5,3,2,3,2,272.585832,30.700565,8274.519973
2025-07-25,5,3,2,3,2,277.233692,31.738075,8551.753664
2025-07-26,5,2,3,1,4,99.007582,32.507057,8650.761246
2025-07-27,4,3,1,3,1,322.224274,26.710422,8972.98552
2025-07-28,3,3,0,2,1,249.887871,20.640829,9222.873392
2025-07-29,5,1,4,1,4,-9.836412,35.159335,9213.036979
2025-07-30,3,3,0,3,0,377.782626,21.410034,9590.819605
2025-07-31,4,3,1,2,2,307.082165,29.724251,9897.90177
2025-08-01,5,3,2,1,4,211.215638,37.961528,10109.117407
2025-08-02,5,3,2,2,3,205.833634,38.601664,10314.951042
2025-08-03,5,4,1,1,4,239.608354,39.548772,10554.559396
2025-08-04,5,1,4,1,4,-11.256687,39.963121,10543.302709
2025-08-05,4,3,1,3,1,392.717816,32.553905,10936.020525
2025-08-06,4,3,1,2,2,360.618003,33.648106,11296.638528
2025-08-07,3,3,0,3,0,463.22117,26.252081,11759.859697
2025-08-08,3,3,0,3,0,482.215656,27.328554,12242.075354
2025-08-09,5,2,3,1,4,181.300254,46.491166,12423.375608
2025-08-10,3,3,0,3,0,509.423273,28.870489,12932.798882
2025-08-11,5,2,3,2,3,207.85555,49.034451,13140.654432
2025-08-12,4,3,1,2,2,396.74358,40.579487,13537.398012
2025-08-13,3,3,0,3,0,555.10401,31.459348,14092.502022
2025-08-14,5,3,2,1,4,201.549862,53.888644,14294.051884
2025-08-15,3,3,0,3,0,586.130769,33.217724,14880.182653
2025-08-16,4,3,1,3,1,586.033878,46.173983,15466.216531
2025-08-17,5,3,2,3,2,518.18792,59.525805,15984.404451
2025-08-18,5,1,4,1,4,36.036207,61.243696,16020.440657
2025-08-19,5,2,3,1,4,150.726442,61.062831,16171.167099
2025-08-20,5,1,4,0,5,-131.072522,61.347527,16040.094577
2025-08-21,5,3,2,1,4,215.879088,61.590177,16255.973665
2025-08-22,5,2,3,1,4,56.935029,62.375012,16312.908693
2025-08-23,5,2,3,2,3,262.180573,62.699183,16575.089266
2025-08-24,5,4,1,2,3,552.377762,63.725086,17127.467029
2025-08-25,5,2,3,2,3,312.093331,66.063603,17439.56036
2025-08-26,3,3,0,3,0,715.113043,40.527523,18154.673402
2025-08-27,5,3,2,2,3,410.285893,69.369019,18564.959295
2025-08-28,4,3,1,3,1,691.509147,57.566401,19256.468442
2025-08-29,5,3,2,2,3,443.245766,73.24999,19699.714209
2025-08-30,5,2,3,2,3,331.804038,75.721037,20031.518247
2025-08-31,3,3,0,3,0,821.396851,46.550932,20852.915098
2025-09-01,5,2,3,2,3,335.147418,79.332469,21188.062515
2025-09-02,5,2,3,1,4,252.558734,80.778076,21440.621249
2025-09-03,3,3,0,3,0,879.177432,49.825525,22319.798682
2025-09-04,5,3,2,1,4,290.788109,86.020122,22610.58679
2025-09-05,5,4,1,1,4,535.85525,86.974522,23146.442041
2025-09-06,4,3,1,3,1,862.160597,71.167026,24008.602638
2025-09-07,3,3,0,3,0,984.478079,55.793218,24993.080717
2025-09-08,5,2,3,2,3,401.688033,96.058508,25394.768751
2025-09-09,5,2,3,1,4,195.247996,97.252953,25590.016747
2025-09-10,5,3,2,3,2,857.380828,97.822709,26447.397575
2025-09-11,3,3,0,2,1,972.67997,61.427144,27420.077545
2025-09-12,5,2,3,2,3,440.694652,105.38994,27860.772198
2025-09-13,5,2,3,1,4,101.268535,105.92642,27962.040733
2025-09-14,5,1,4,1,4,54.233175,106.878632,28016.273908
2025-09-15,5,3,2,3,2,965.913371,107.172266,28982.187279
2025-09-16,3,3,0,3,0,1188.421022,67.351253,30170.6083
2025-09-17,3,3,0,3,0,1237.152489,70.113006,31407.760789
2025-09-18,3,3,0,2,1,1191.791492,72.959169,32599.552281
2025-09-19,5,3,2,1,4,290.201016,124.155511,32889.753298
2025-09-20,4,3,1,2,2,1098.151187,100.926278,33987.904484
2025-09-21,5,2,3,2,3,607.032912,129.018437,34594.937397
2025-09-22,5,2,3,2,3,561.990052,132.084519,35156.927448
2025-09-23,5,3,2,2,3,945.529635,135.240951,36102.457083
2025-09-24,5,1,4,0,5,-104.516201,137.198891,35997.94088
2025-09-25,4,3,1,2,2,1038.85471,110.85391,37036.795589
2025-09-26,5,3,2,0,5,-47.5204,140.827292,36989.275189
2025-09-27,5,3,2,1,4,711.963895,142.151886,37701.239084
2025-09-28,4,3,1,1,3,1013.416736,116.490415,38714.65582
2025-09-29,5,3,2,3,2,1297.115356,150.016598,40011.771176
2025-09-30,5,1,4,0,5,-178.709072,151.765519,39833.062103
2025-10-01,5,2,3,2,3,719.482706,152.084875,40552.544809
2025-10-02,4,3,1,3,1,1510.504559,125.211585,42063.049369
2025-10-03,5,2,3,2,3,676.036051,161.670669,42739.08542
2025-10-04,5,2,3,0,5,265.855635,162.89473,43004.941055
2025-10-05,5,4,1,2,3,1239.632087,165.806786,44244.573141
2025-10-06,4,3,1,2,2,1427.690173,136.545112,45672.263315
2025-10-07,5,3,2,0,5,413.677828,174.111805,46085.941143
